Majority protein IDs,Protein names,Gene names,Peptides,Sequence coverage [%],Azaguanine_1,Raltitrexed_1,Topotecan_1,Floxuridine_1,Nutlin_1,Dasatinib_1,Gefitinib_1,Vincristine_1,Bortezomib_1,Azaguanine_2,Raltitrexed_2,Topotecan_2,Floxuridine_2,Nutlin_2,Dasatinib_2,Gefitinib_2,Vincristine_2,Bortezomib_2,Azaguanine_3,Raltitrexed_3,Topotecan_3,Floxuridine_3,Nutlin_3,Dasatinib_3,Gefitinib_3,Vincristine_3,Bortezomib_3
P30041,Peroxiredoxin-6,PRDX6,21,85.7,1.100256346,1.032458431,0.962254437,0.943600274,0.889269902,1.003136023,1.014161282,0.951426103,0.651044075,1.126871248,1.132308443,1.112056245,1.140140682,1.032999017,1.332424101,1.189316311,1.014405115,0.815226033,1.013770305,1.078844968,0.949937531,0.977912563,0.918466682,1.029837205,1.015208043,0.941947672,0.65917305
Q9NRX4;Q9NRX4-2,14 kDa phosphohistidine phosphatase,PHPT1,10,85.6,1.283969043,1.189393057,1.32707061,1.062351502,1.567952266,1.032966779,1.010111909,1.048167189,0.753376367,1.076493511,1.352925045,1.353565982,1.239293525,1.507357887,1.383656282,1.292712313,1.173380226,0.810624684,1.064737567,1.118320128,1.261060396,1.22139909,1.39301123,0.980153351,1.058221283,0.909977413,0.666109431
P29762;B5MCB5,Cellular retinoic acid-binding protein 1,CRABP1,13,84.7,0.967832799,1.081481515,0.907622965,0.987176702,0.861112516,1.217345822,1.047000726,0.915475628,0.739479477,0.995028406,1.102807415,0.988866685,1.116372031,0.963947676,1.592908208,1.105432185,1.085132536,0.854328248,1.049387464,1.095691265,0.982681363,1.073850837,0.864708437,1.324481228,1.028212849,0.966388033,0.806291356
O43399-5;O43399-7;O43399;A0A087WYR3;A0A087WZ51,Tumor protein D54,TPD52L2,24,84.5,1.177521759,1.093279736,1.332497823,1.067282911,1.058073206,1.111690013,0.99691694,1.143324904,0.860920737,1.050298409,0.971786037,1.146123376,0.981973202,0.886933834,1.109149881,0.909632151,0.977124771,0.757174133,1.140502203,1.115899856,1.231978149,1.045737584,1.00891259,1.17798742,1.117243046,1.297425699,0.855640139
O95817,BAG family molecular chaperone regulator 3,BAG3,38,84.3,0.929136554,1.055672441,1.101400104,1.142493646,0.955993982,0.943151596,0.946207118,1.011418533,2.342829975,0.787707564,0.929801094,0.982428799,0.937367255,0.883998804,0.83141695,0.829757761,1.026212707,2.19917693,0.877250116,0.908847713,1.019694504,0.967455275,0.858387999,0.813698013,0.758809372,0.867909926,2.069179853
P31939;P31939-2;H7C1S2;C9JLK0;F8WEF0,Bifunctional purine biosynthesis protein PURH;Phosphoribosylaminoimidazolecarboxamide formyltransferase;IMP cyclohydrolase,ATIC,40,84,0.988140903,0.983750789,0.851173917,0.951713507,0.940316467,1.054183433,1.069716109,1.037188894,0.701692331,1.023691269,1.075849673,0.888052501,1.152570144,1.039532899,1.208889207,1.212327151,1.077303095,0.817215592,0.911030361,0.990720495,0.870170921,1.013612824,0.954811674,1.03822821,1.026744342,1.004456743,0.641932525
P21266;A0A0A0MTN3,Glutathione S-transferase Mu 3,GSTM3,25,84,0.958065361,0.961776264,0.751483501,0.833399603,0.75356624,0.874307366,1.20999059,0.806307909,0.60376666,0.926563764,1.170030329,0.826135343,1.123781149,0.916292845,1.404735312,1.592757582,0.981120539,0.703065907,0.885768414,0.998086209,0.722787957,0.919836111,0.782337339,0.923300811,1.036282817,0.775862038,0.59188742
P14854;K7EQD3,Cytochrome c oxidase subunit 6B1,COX6B1,11,83.7,1.031906616,1.087109526,0.924278294,1.051868333,0.930344875,1.110016737,0.865991508,0.919284765,0.749788491,0.982269203,0.694109985,0.595778634,0.608405331,0.420719408,0.622300319,0.631176324,0.724945344,0.641189089,1.188955975,0.907045697,0.857524673,0.747786449,0.642755546,0.680639386,0.407855982,0.517724269,0.470398751
C9J0J7;G5E9Q6;P35080-2;C9JQ45,Profilin;Profilin-2,PFN2,8,83.5,1.11643743,1.014127196,0.882974755,0.903719419,0.940294717,1.093582575,0.983757584,1.052685994,0.635691066,1.190563674,1.10262198,0.995799733,1.266187989,1.061762477,1.622530349,1.268979364,1.132218448,0.818069311,1.061029901,1.011822929,0.898128942,1.03404497,0.880492189,1.076908239,0.948566096,0.914288661,0.649915555
O76070;F8W754,Gamma-synuclein,SNCG,9,83.5,1.003255627,1.202610756,0.902848359,1.19735446,1.539427706,1.065473913,1.009866775,0.987835051,1.213070138,1.128033339,1.08017558,0.856949868,1.317385974,1.721602591,1.389215853,1.070468747,1.069373058,1.212332055,1.240401552,1.197785742,0.769766171,1.429279758,1.907679731,1.248264296,1.037594735,1.155104578,1.197561438
P07919;A0A096LP55;A0A087X2B9;A0A087WTF2,"Cytochrome b-c1 complex subunit 6, mitochondrial;Cytochrome b-c1 complex subunit 6",UQCRH;UQCRHL,8,83.5,1.312932942,1.301928863,1.136909065,1.066823186,1.001123777,0.902920183,1.031490245,0.965411521,0.91036843,0.999043709,1.004481654,1.555844361,1.166962608,0.781369289,1.115429505,0.964111619,1.005184884,0.590498537,1.390451257,1.102473349,1.147953097,1.123459839,0.813824502,0.935184098,0.85022453,0.817032703,0.625234136
P80723;P80723-2;U3KQP0,Brain acid soluble protein 1,BASP1,21,83.3,1.042489902,1.158392866,1.020152861,0.950178375,0.997321715,1.421674764,1.201245867,0.801362118,0.560384874,0.85108202,0.922535704,0.921354483,1.184780526,1.047436675,1.533139934,0.959391519,1.059246604,0.533518418,1.196616635,0.775253924,0.906961245,0.900294881,0.986783442,1.285269325,0.801209191,0.684610339,0.375637166
C9J0K6;P30626-2;P30626;P30626-3;B4DHQ6;E9PG82,Sorcin,SRI,14,83.2,0.905077427,1.025481495,0.812398428,0.819814159,0.775455297,0.813607934,0.988920095,0.864084563,0.508278989,0.877067148,0.962569182,0.765515571,0.813301496,0.75950598,0.966143821,1.119211303,0.973644341,0.570517485,0.863028846,0.924069544,0.749009375,0.818336638,0.686922651,0.740523169,0.761437928,0.599746916,0.367203466
P47756-2;B1AK87;B1AK88;P47756;B1AK85,F-actin-capping protein subunit beta,CAPZB,24,83.1,0.985107525,0.978712747,0.816333561,0.946444606,1.00629084,1.000120585,0.999749683,0.984110947,0.681273498,1.059535343,1.046483359,0.951212908,1.114974782,1.032982221,1.241430638,1.137041267,1.046778562,0.860477771,1.068007797,0.920897529,0.779875501,1.023021001,0.893192291,0.989062573,1.142275956,0.85382281,0.665555475
E7EUI8;E7EM57,Glucose-6-phosphate 1-dehydrogenase,G6PD,30,83.1,0.940908943,1.044415251,1.220513104,1.240963959,1.21744672,1.082150919,1.156690729,1.124009274,0.953895833,1.25321063,1.214472901,1.052839009,1.180649614,1.260980466,1.017573234,1.162055629,1.045105802,1.066694608,1.069064054,0.869378536,0.792061579,1.180636966,0.967533345,0.819983349,0.904049087,0.98145748,1.362741634
P11413;P11413-2;P11413-3;E9PD92,Glucose-6-phosphate 1-dehydrogenase,G6PD,47,83.1,1.068551248,1.064691661,1.227924726,1.076200546,1.215572962,1.005137858,1.184587098,1.190718616,0.711918527,1.063195546,1.124530798,1.298214572,1.157075723,1.308055762,1.09621735,1.231667115,1.279043021,0.717504249,1.060237163,1.066635413,1.198141434,1.109264776,1.215363272,1.051467423,1.277810401,1.135874069,0.72280577
E5RHG8;Q15369;Q15369-2;R4GMY8,Transcription elongation factor B polypeptide 1,TCEB1,6,83.1,1.276143633,1.121573961,0.936595371,0.827054511,0.910023626,0.803614861,0.891333254,0.81584924,0.830915523,1.352208243,1.386699674,1.649989463,1.608161428,1.285068554,1.426299536,1.307554904,1.372284175,1.238872767,1.045098352,1.067237757,0.838988367,0.931558754,0.784353495,0.753796875,0.571224772,0.569350019,0.53164836
P63244;J3KPE3;H0YAF8;H0Y8W2;D6RHH4;D6RAC2;D6R9Z1;H0YAM7;D6R9L0;D6RFX4;D6REE5;D6RFZ9;D6RAU2;E9PD14;D6RBD0;H0Y8R5;D6RHJ5;D6RGK8;D6R909;D6RDI0,"Guanine nucleotide-binding protein subunit beta-2-like 1;Guanine nucleotide-binding protein subunit beta-2-like 1, N-terminally processed",GNB2L1,22,83,1.026047027,0.939896173,0.900428014,0.845112037,0.888111205,0.975420696,0.940845126,0.85597903,0.84516185,1.088567196,0.976645733,0.969503536,0.931927308,0.9405802,1.176260475,1.039215907,0.953491544,0.896446033,1.05271571,1.013482215,0.980623199,0.929139416,0.954723331,1.077389728,0.999637861,1.036030421,0.850673932
Q15181;Q5SQT6,Inorganic pyrophosphatase,PPA1,23,83,1.13045831,1.040597866,1.072900549,0.986162668,1.029621666,1.1135197,1.045006067,1.21317969,0.719744157,1.139615901,1.13467155,1.109970768,1.233863971,1.100886193,1.333380079,1.288849267,1.131900766,0.77978839,0.990267659,1.05899004,1.058437923,1.102873423,0.973069362,1.069782938,1.04813961,1.106967606,0.697915178
Q7RTV0,PHD finger-like domain-containing protein 5A,PHF5A,10,82.7,1.024086134,0.977059448,0.879078449,0.911864468,0.780982937,0.805549619,0.947956765,0.855309759,0.79367469,1.059139859,1.061045797,0.946689636,1.012757798,0.933489857,1.069091786,1.114659459,1.054250896,0.938546899,1.097598536,0.963116995,0.921915348,1.015548904,0.88986149,0.895319525,0.950913286,0.866728244,0.931067063
P21796;C9JI87,Voltage-dependent anion-selective channel protein 1,VDAC1,21,82.7,0.976219855,0.993138076,1.009604628,0.961200086,0.987425343,0.974097291,1.081877109,0.965448955,0.700571175,1.059879491,1.04300206,1.185317119,1.088303789,1.169556728,1.175892463,1.099297051,1.125412642,0.691554357,1.059326413,1.020742204,1.045069576,1.017848632,1.09949161,1.033430027,1.039795308,1.031250543,0.764414565
P51858;P51858-2;P51858-3,Hepatoma-derived growth factor,HDGF,24,82.5,1.220789415,1.020400168,0.997027787,0.982678104,1.001910854,0.987514997,0.974987478,1.064838512,0.868303369,1.145056351,1.001763267,0.956461217,1.102855296,0.972791326,1.08807374,1.020589486,1.062062396,0.83600315,1.218072055,1.02658945,1.015598421,1.068755606,0.992111682,0.990953866,1.023299036,0.967907115,0.833179291
P78371;P78371-2;F5GWF6;F8VQ14,T-complex protein 1 subunit beta,CCT2,35,82.4,1.172455187,1.002455066,1.058138635,0.987100968,0.912814969,1.098235557,0.999843349,1.15717767,1.05000281,1.214051149,1.023772365,1.002811902,1.059692039,0.900767963,1.121551535,1.082557126,1.082969363,1.157009409,1.039562054,1.061786183,1.043541618,1.000549022,0.96194521,1.083373299,1.132378578,1.130322128,1.205216194
P23396;P23396-2;E9PL09;E9PPU1;F2Z2S8;H0YCJ7;H0YEU2;H0YF32;E9PQ96;E9PJH4;E9PK82;E9PSF4;E9PQX2;H0YES8,40S ribosomal protein S3,RPS3,21,82.3,1.017711626,0.950821543,0.914255631,0.898131746,0.865188566,0.972098256,0.94754977,0.803722718,0.7327727,1.027120561,0.94652715,0.887373072,0.895271711,0.88401549,1.078725264,0.964990272,0.871972487,0.715721141,1.094965681,0.968439755,0.959609112,0.903142602,0.924993913,1.013060425,0.981080442,0.899143683,0.749230785
O14745;O14745-2;J3QRP6,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,SLC9A3R1,28,82.1,0.822703592,0.914907763,0.795987649,0.947630243,0.688388141,0.863996791,0.988806942,0.893257469,0.757901735,0.789677485,0.803440032,0.773101666,0.87643107,0.653408977,0.836444571,0.895385894,0.851267083,0.750778327,0.866378041,0.909424559,0.83081757,0.974114592,0.673871415,0.920800925,0.899659393,0.906251403,0.729141129
P31949,"Protein S100-A11;Protein S100-A11, N-terminally processed",S100A11,7,81.9,0.877222935,1.158696208,1.387591598,1.004567615,0.977104108,0.839050616,1.10353658,1.080406004,0.768809535,0.855060578,1.256026911,1.074693244,0.897569156,1.174902934,1.099678899,1.160512287,1.678728154,0.712310905,1.294798433,0.942832252,1.549017631,1.022747686,0.981811217,0.678911394,0.604459351,0.931258044,0.580893442
P06733-2,Alpha-enolase,ENO1,26,81.8,0.443824794,0.951360122,0.998450894,1.529109017,0.575338944,0.673318148,0.839640344,0.534445727,0.590500509,0.424352099,0.547560067,0.474842827,0.430038179,0.438233381,0.447778537,0.425551143,0.620948771,0.396811908,1.303261429,0.4607168,1.145699424,0.766386555,0.545048854,0.660576037,0.580424778,0.589351494,0.406925442
P00558;P00558-2,Phosphoglycerate kinase 1,PGK1,32,81.8,1.187360508,1.008914652,1.129354667,1.045865608,1.143399118,1.239325113,1.064614207,1.324402926,0.829687001,1.157736123,1.013670587,1.064229883,1.104090501,1.074877825,1.249388128,1.173069191,1.028772528,0.927125545,1.023034121,1.095518347,1.105670983,1.06635805,1.067543623,1.155171085,1.164990747,1.225250043,0.849286259
E7ESK7;E9PD24;E5RIR4;E5RGE1,,YWHAZ,18,81.8,0.82793248,0.900254784,0.950268854,0.996579045,0.923264654,0.80956447,0.958095744,0.909009148,1.023108976,0.742587127,0.639931367,0.707177668,0.637869352,0.863589262,0.570001668,0.681311538,0.404875764,0.520306255,1.161171014,1.063784793,1.023514717,1.325850807,1.330811199,1.180274227,1.162656187,1.175360902,1.096912255
Q04760;Q04760-2,Lactoylglutathione lyase,GLO1,12,81.5,1.125831375,1.023103902,0.885385932,0.966790083,0.956278824,1.110666007,0.983914119,0.974157978,0.71495283,0.986602388,0.99696155,0.834505229,0.963394607,0.823245444,1.246118192,0.978715715,0.953993381,0.740482089,1.062354858,1.096405327,0.876523371,0.9690271,0.886939243,1.054886943,0.833162002,0.732510924,0.633491124
P49006,MARCKS-related protein,MARCKSL1,8,81.5,1.040251732,1.252449282,1.475809178,0.937714076,0.60725837,0.541966192,0.896332755,0.769390212,0.607559038,0.845730107,0.953969002,1.225393187,0.988733702,0.58337845,0.584979573,0.799591498,0.854255338,0.521851347,0.996656716,0.890059228,1.209530027,0.829241437,0.544262046,0.499090483,0.671613126,0.623252732,0.392269649
P61604;B8ZZL8;B8ZZ54,"10 kDa heat shock protein, mitochondrial",HSPE1,10,81.4,1.065517051,1.07048207,1.510363114,0.940970963,0.964591081,1.024621951,1.139112436,1.44115859,0.822620305,0.994698251,1.187533753,1.104043078,1.00563642,1.00666612,1.33514487,1.199832816,0.994056918,0.729274606,1.087552603,0.999260565,1.180028155,0.948401655,0.960055985,0.982792917,0.879492152,0.838839711,0.641465416
Q9H2H8;H7BZ14;B8ZZ77;Q9H2H8-2;C9K058;F8WC82;C9J4N2,Peptidyl-prolyl cis-trans isomerase-like 3;Peptidyl-prolyl cis-trans isomerase,PPIL3,10,81.4,1.18949685,1.03548864,0.784765039,0.931826613,0.926125732,0.943568525,1.026137892,1.02580859,0.727770213,1.045158236,1.114503822,0.761117275,1.010209264,1.019700698,1.318422122,1.244356798,1.064558656,0.833723961,1.106002121,0.999747929,0.77263597,0.96311081,0.881303463,0.886156942,0.909745554,0.872231222,0.69308794
