Majority protein IDs	Protein names	Gene names	Peptides	Sequence coverage Rep_1 [%]	Azaguanine_1	Raltitrexed_1	Topotecan_1	Floxuridine_1	Nutlin_1	Dasatinib_1	Gefitinib_1	Vincrisitine_1	Bortezomib_1	Azaguanine_2	Raltitrexed_2	Topotecan_2	Floxuridine_2	Nutlin_2	Dasatinib_2	Gefitinib_2	Vincrisitine_2	Bortezomib_2	Azaguanine_3	Raltitrexed_3	Topotecan_3	Floxuridine_3	Nutlin_3	Dasatinib_3	Gefitinib_3	Vincrisitine_3	Bortezomib_3
O95477	ATP-binding cassette sub-family A member 1	ABCA1	8	1.8	0.868078326	1.449518689	1.394959223	1.291323927	2.682023926	0.888325962	0.848799937	1.38306064	1.352743284	1.047995453	1.262426276	1.332794793	1.201892572	1.75842362	0.954101451	0.945384057	1.378886977	1.39082005	1.03258141	1.405838219	1.418723517	1.440047591	2.485242092	0.991686381	1.065927121	1.40588837	1.436157206
"H0Y3H2;Q99758"	ATP-binding cassette sub-family A member 3	ABCA3	7	3.5	0.960587681	0.91951477	1.049032786	0.688663091	1.197323893	1.221111591	1.401657927	0.92694702	0.930243348	0.958739584	0.895149306	1.008858265	0.934676533	1.015739836	1.013482731	1.078761271	0.92989724	0.81519262	0.879892383	1.115072631	1.06785705	0.912401518	0.956470657	1.354306342	1.31168797	1.005637758	0.773152414
Q9NRK6	ATP-binding cassette sub-family B member 10, mitochondrial	ABCB10	4	6.8	1.153803713	1.134269722	1.03307594	0.842229225	0.965936121	1.012070873	1.01893885	0.99491542	0.877917252	0.99312751	0.972138772	0.968553058	0.870514655	0.730434261	0.846628162	0.866925071	0.921085319	0.942890171	1.033806233	1.040724519	1.188742987	0.858063844	0.909817298	1.121435534	1.000055059	1.008191001	0.889665926
"Q9NP58-4;Q9NP58;H7BXK9"	ATP-binding cassette sub-family B member 6, mitochondrial	ABCB6	11	20.5	0.764693928	0.844781539	0.987125757	0.747146932	1.403722061	1.066466407	0.88549026	0.673182447	0.651683752	0.867351509	0.886325482	1.008416848	0.805710996	1.468789821	1.044253423	0.956938943	0.711252756	0.732459393	0.849590165	0.852006717	1.070641823	0.623638701	1.587907254	1.051101628	0.943245131	0.57426216	0.650457283
"B4DGL8;A0A087WW65;O75027-3;O75027;O75027-2"	ATP-binding cassette sub-family B member 7, mitochondrial	ABCB7	10	16.5	0.939750801	1.006587322	0.999119268	0.95130076	1.030897053	0.99203896	0.986422105	0.983978808	0.851502324	0.921544622	1.044687959	1.01356243	1.00042324	1.182285189	1.053572885	1.016979108	1.067704003	0.837182805	0.974768274	0.962458023	1.010891355	1.106478994	1.125059046	1.061575452	1.02139116	1.09986307	0.833677212
"Q9NUT2-5;Q9NUT2-4;Q9NUT2-2;Q9NUT2;Q9NUT2-3"	ATP-binding cassette sub-family B member 8, mitochondrial	ABCB8	8	18.4	0.950649156	1.03161509	1.076092331	0.945153899	1.139138619	1.108677644	1.142915003	0.927008126	1.135682254	0.974245893	0.897699553	0.946939844	0.900482872	0.973061914	0.963006797	0.900405344	0.817178964	1.030416823	0.922721703	0.97717816	1.044654115	0.8238747	1.073941232	1.153823689	1.255424965	0.877946537	1.145161132
"P33527;P33527-3;P33527-9;I3L4X2;P33527-2;P33527-5;P33527-4;P33527-7;P33527-6;P33527-8;A0A0A0MS99"	Multidrug resistance-associated protein 1	ABCC1	39	27.9	0.850630886	0.912262367	0.890719535	0.954302799	1.118743033	0.992535508	1.043198739	0.900129198	0.84969155	0.848804262	0.948706837	0.894269038	0.986964113	1.125644658	0.988236354	0.999703674	0.924600604	0.887610896	0.877364184	0.891988081	0.893230557	0.929556232	1.112616768	1.006783428	1.036205421	0.905452234	0.880275563
Q92887	Canalicular multispecific organic anion transporter 1	ABCC2	28	16.2	0.73991286	0.889488703	0.95676913	0.958050773	0.935426017	1.023141778	1.135069834	0.76417506	0.712287443	0.737971138	0.89657921	0.98211885	0.969121305	0.903931386	0.999484271	1.069456983	0.75083506	0.769242663	0.803044721	0.920220566	1.029400183	0.987939373	0.958395146	1.079215109	1.135874548	0.843827829	0.825625005
"O15438;O15438-4;O15438-2"	Canalicular multispecific organic anion transporter 2	ABCC3	22	13.6	0.716596205	0.899432196	1.054666657	0.845247458	1.044403027	0.965771675	1.132268782	0.833829072	0.700767164	0.738889001	0.912926216	1.068681312	0.910929483	1.044826737	1.049702108	1.166855176	0.871359951	0.656988726	0.79122767	0.942097522	1.055891013	0.895243641	1.085189979	1.052894874	1.213578629	0.897866844	0.732242628
"O15439;O15439-2;O15439-4;O15439-3"	Multidrug resistance-associated protein 4	ABCC4	26	18.5	0.844364768	0.996293684	0.898965185	1.216562986	1.05887393	1.188574462	1.128007891	1.005743424	0.864341789	0.916754255	1.130588597	0.918363062	1.229641294	1.229497595	1.309702103	1.256495105	1.093437998	0.928936395	0.889841134	0.987259327	0.894102876	1.212974692	1.088562828	1.145671829	1.099499321	1.028036117	0.905196187
"O15440-5;O15440"	Multidrug resistance-associated protein 5	ABCC5	6	3.7	0.984298822	1.603793803	1.434569487	1.372594836	1.257396219	1.153849279	0.877040981	1.759572782	2.127624587	0.920334573	1.729498638	1.459582628	1.572605333	1.338277777	1.158628779	0.867901277	1.951106262	2.154554152	0.829180992	1.08383006	0.962668864	0.992156091	0.893611299	1.111726012	0.708991746	1.201841791	1.435260961
P33897	ATP-binding cassette sub-family D member 1	ABCD1	6	3.2	0.929627237	1.309420262	1.455726877	1.228605658	1.24736241	0.925955852	0.93497821	0.949554464	0.957165537	0.998147491	1.427588612	1.515418452	1.41728876	1.295050375	0.966570812	0.945689348	0.823283259	0.90390023	0.988353195	1.557880087	1.653787477	1.522517234	1.460708116	0.745378911	0.918001419	0.906347257	0.905837722
"P28288;P28288-2"	ATP-binding cassette sub-family D member 3	ABCD3	13	20	0.972993757	1.118963777	1.129225332	1.195732056	1.187999761	1.107431897	0.97667142	0.961156989	0.710214511	0.868336551	1.005367011	1.060419894	1.099233974	1.048571108	0.959675804	0.871870985	0.905986891	0.746164955	0.949280035	1.044721982	1.078402684	1.099795586	1.197541909	1.042694296	0.930437309	0.890494855	0.631859447
"O14678;H0YJ78"	ATP-binding cassette sub-family D member 4	ABCD4	2	3.8	0.932220957	0.810545669	1.207284179	0.849302463	1.016148053	1.72419972	1.296723658	0.689455759	1.352952251	0.996177768	1.151155019	1.053209344	0.925466355	1.152722872	1.354902272	1.38036821	0.89891147	1.143318657	0.888687048	0.911665406	1.072511707	0.796560474	1.032582208	1.221723167	1.19372061	0.997852915	1.274911773
"P61221;D6R9I9"	ATP-binding cassette sub-family E member 1	ABCE1	24	30.2	1.05220812	0.937146128	0.952210511	0.944225805	0.887497533	1.047482119	0.982386366	1.129406533	0.910865569	1.044631872	0.942138026	0.976381733	0.952928858	0.953980697	1.076264535	1.029689493	1.130766899	0.951270024	0.999817039	0.903859736	0.914183263	0.929778085	0.899022919	1.021738043	0.955386598	1.105570345	0.893928353
"Q8NE71;Q8NE71-2;H0YGW7"	ATP-binding cassette sub-family F member 1	ABCF1	33	35.6	0.941775357	0.86665551	0.919951069	0.877738639	0.853384989	0.942777981	0.969112662	0.933216819	0.981206982	0.99144776	0.923749686	1.011730125	0.899460527	0.898179372	1.004406661	1.018210481	1.011182498	1.000328346	0.965407756	0.885498903	0.944789778	0.916289226	0.867979071	0.949393505	0.97061732	1.002228969	0.963106403
"Q9UG63;Q9UG63-2;C9JHK9;C9JZV3"	ATP-binding cassette sub-family F member 2	ABCF2	26	32.1	1.037375813	0.835143187	0.951041813	0.786658724	0.791496935	0.840293669	0.882950928	0.917254114	1.13834894	1.087667568	0.892510467	1.004593757	0.842937804	0.834393374	0.968924859	1.063403788	1.063380922	1.245026299	1.069048027	0.86793875	0.983329535	0.837955257	0.801565626	0.931508401	1.024216715	1.007234866	1.260315116
"Q9NUQ8;Q9NUQ8-2"	ATP-binding cassette sub-family F member 3	ABCF3	22	30.9	0.86940181	1.023709038	1.168673778	1.001159275	0.983269033	1.016052014	0.951322751	0.931388395	1.278471718	0.862710779	0.998197534	1.169745157	0.952652824	0.96227255	0.996684035	0.979736952	0.877870926	1.215299154	0.876554653	1.014127873	1.189872213	0.979695857	0.950973404	1.03005242	1.004884443	0.946918918	1.28889666
"Q9UNQ0-2;Q9UNQ0"	ATP-binding cassette sub-family G member 2	ABCG2	8	8.3	0.802520529	0.874269778	0.884631934	0.85311597	0.75192468	0.875362332	0.941779142	0.866563248	0.608792046	0.856088389	0.856610637	0.9150067	0.884377477	0.771834107	0.930727759	1.046526721	0.899430427	0.583174812	0.812709987	0.84335702	0.932965371	0.868999218	0.800015747	0.970683907	1.001758327	0.823699463	0.586999046
"Q9NUJ1;Q9NUJ1-2"	Mycophenolic acid acyl-glucuronide esterase, mitochondrial	ABHD10	8	34	1.109144432	1.217524171	1.185670403	1.19454606	1.074410758	1.248790903	1.096262818	1.088163982	0.785457482	1.200855942	1.288648685	1.139314144	1.167401612	1.091694866	1.165866563	1.162679003	1.154931492	0.773610978	1.172499255	1.094111184	1.165563549	1.03251593	0.961023889	1.16884644	1.040380495	1.0613029	0.748035363
"Q8NFV4;Q8NFV4-4;Q8NFV4-6"	Alpha/beta hydrolase domain-containing protein 11	ABHD11	5	12.4	1.102769879	1.121879796	1.13651471	0.92681508	1.05690591	1.236225761	0.982644605	1.122478885	0.799060871	1.127993841	1.253649238	1.146598423	1.055378157	1.066717282	1.147579748	0.938154655	1.204622513	1.030975252	0.976418801	0.963563639	1.050856943	0.871861071	0.868159756	1.055033204	0.871918067	0.901220556	0.775957106
"Q8N2K0;Q8N2K0-2;Q8N2K0-3"	Monoacylglycerol lipase ABHD12	ABHD12	14	36.4	0.949212465	1.325002173	1.062263636	1.132285798	1.177700574	1.157982934	1.080631293	1.04097377	0.94519715	0.933052465	1.273157695	1.008655788	1.099128365	1.137271984	1.06710575	1.00326482	0.966413708	0.928591999	0.912667101	1.174092801	1.032694232	1.052537835	1.13706841	1.099316514	1.021333481	1.0458285	0.895398243
"Q96IU4;B4DQI4;F8W9U3"	Alpha/beta hydrolase domain-containing protein 14B	ABHD14B	5	34.8	1.125157339	1.219788095	1.472704068	1.223815632	1.537311257	1.630999714	1.231051582	1.112948437	0.809396263	1.299773341	1.286423854	1.449802281	1.206700408	1.714981769	1.588088128	1.270871089	1.12159165	0.720120139	1.097976998	1.164705138	1.430142823	1.149066992	1.490983511	1.418772888	1.167424873	1.118062411	0.725671695
"A0A0G2JJD3;O95870;O95870-2"	Abhydrolase domain-containing protein 16A	ABHD16A	15	22.8	0.923503731	1.054039876	1.130420488	1.020149619	1.082653998	1.021954449	0.981680829	0.915009222	0.956495435	0.96293764	1.12907315	1.196985592	1.047770532	1.054502807	1.075292692	0.949443165	0.969325334	1.030784646	0.902827947	1.091186012	1.086812345	0.940835527	1.023318764	1.006468994	1.017747934	0.919207976	0.928613785
"Q5VST6;Q5VST6-2"	Alpha/beta hydrolase domain-containing protein 17B	ABHD17B	5	28.5	1.100270335	0.979091517	1.022439017	1.014444246	1.058321946	1.216050842	1.217650364	1.136979221	1.642615136	1.214009806	1.176478874	1.088768484	1.066241597	1.185918131	1.361508534	1.370906047	1.282763604	1.87494462	1.090744804	0.950021331	1.096518275	0.840739437	1.024616858	1.491558095	1.166575884	1.070466496	1.891127334
P08910	Abhydrolase domain-containing protein 2	ABHD2	13	33.6	0.956577699	0.973830986	1.002397545	1.011151474	1.264736501	1.229879977	1.198395587	0.93239652	2.641489033	0.942362329	1.035029815	0.972447586	1.105252489	1.283019395	1.251205799	1.164678529	1.081063897	2.265796855	1.00573431	1.072462907	1.09749619	1.098860022	1.487389657	1.443373959	1.432560482	0.945822855	3.846224263
"Q8WU67;J3KTE1;J3KSP1"	Phospholipase ABHD3	ABHD3	5	10	0.77820802	0.831850323	0.979173938	0.866688611	0.993205116	1.166653523	1.562068751	0.824932871	6.060105637	0.836669878	0.90123801	0.856947991	0.861617769	0.896429509	0.96211134	1.250345733	0.908898147	3.801397628	0.884798309	0.804932253	0.997150794	0.801180447	0.811493968	1.136823942	1.245623646	0.823289436	4.489228313
Q8TB40	Abhydrolase domain-containing protein 4	ABHD4	3	10.5	1.009144594	0.994070534	0.831743626	0.905329025	1.331801587	0.853361264	1.042352523	0.87486939	2.239229014	0.969030168	1.093839465	1.135907835	1.161286608	2.116005156	1.055194196	1.184858394	0.986729213	2.805207058	1.003601653	1.114662141	0.99243059	0.992651175	1.579106895	0.941491238	0.998960201	0.897756383	2.378550326
Q9BV23	Monoacylglycerol lipase ABHD6	ABHD6	8	27.6	0.781719786	0.843477987	0.818692449	0.840580349	0.906104227	0.719821921	0.763268665	0.732070514	0.738898555	1.006543954	1.064166501	1.142508199	1.477131128	1.188334555	1.136947444	0.988248073	0.989902401	1.030530632	1.037136644	1.003711095	1.076165615	1.191490057	1.159671972	1.147067048	0.986180927	0.964021299	0.977535892
"B6VEX4;A0A0A0MRT6;Q8IZP0-10;Q8IZP0-8;Q8IZP0-7;Q8IZP0-2;Q8IZP0-4;Q8IZP0-3;Q8IZP0-5;Q8IZP0-6;Q8IZP0-9;Q8IZP0;Q8IZP0-12;Q8IZP0-11"	Abl interactor 1	ABI1	10	27.7	1.059728349	1.095127608	1.00278522	1.147902822	1.084208549	1.194591348	1.105283739	1.114486389	1.21841832	1.080381454	1.022033052	0.963574915	0.973154019	1.133289114	1.131806012	1.106352995	1.0976556	1.152167402	1.06937692	0.976985008	0.944982447	1.209718319	1.130982011	1.210589483	1.101017603	1.270838671	1.292479888
"E7EW77;E7EP65;A0A0C4DG21;F8WAL6;Q9NYB9-2;Q9NYB9-4;Q9NYB9;E9PEZ7;B7Z836;Q9NYB9-3"	Abl interactor 2	ABI2	8	17.5	0.906919508	0.989644221	1.051484493	1.192895678	1.063064824	1.128848998	0.990887048	1.001802591	1.119037487	0.909470292	1.000688279	0.9631038	0.922251332	1.125218225	1.109492009	1.131835391	1.045774725	1.118611054	0.880207894	1.178286354	1.236439386	1.550307721	1.871857295	1.100699632	1.095832791	1.090941021	1.139466303
"P00519;P00519-2"	Tyrosine-protein kinase ABL1	ABL1	10	11	0.888442445	0.873500687	0.931347939	0.776310104	0.854205227	0.928644768	0.926963151	0.752337558	1.127323022	0.925110914	0.893822488	0.948935211	0.990741125	0.832981819	1.015060677	0.903153967	0.895032316	1.297517654	1.061809373	1.38461841	1.154946679	0.955993222	1.099029379	1.091905886	0.900001106	1.357051406	1.862423887
"P42684-7;P42684-5;P42684-6;P42684;P42684-4;P42684-10;P42684-2;P42684-3"	Abelson tyrosine-protein kinase 2	ABL2	12	12.7	0.882380227	0.889692767	0.910469694	0.788404087	0.837463651	0.7665511	0.970742253	0.883678033	1.618430605	0.927993937	1.036637137	1.038715275	1.002206585	0.96594564	0.932339086	1.001001778	1.037289488	1.656407483	0.995271433	1.003812559	0.969488646	0.967171701	0.905156818	0.917535511	0.968047226	0.969025059	1.580760674
